(Input Var1)Condenser_Specification_Value,(Input Var2)Temperature (K),(Output Var1)Distillate - Molar Fraction (Liquid 1) / Benzene (),(Output Var2)QC - Energy Flow (kW),(Output Var3)QR - Energy Flow (kW),(Output Var4)Bottoms - Molar Fraction (Liquid 1) / Benzene (),(Input Var3)Feed - Molar Fraction (Vapor) (),(Input Var4)Stage_Temperature_1 (K),(Input Var5) Stage_Temperature_20 (K)
3.2069,385.931,1,694.197,484.443,0.0132029,0.604735,353.317,364.567
3.2069,389.448,1,694.197,484.443,0.0132029,0.762021,353.317,364.567
3.2069,392.966,1,694.197,484.443,0.0132029,0.954088,353.317,364.567
3.2069,396.483,1,694.197,484.443,0.0132029,1,353.317,364.567
3.2069,400,1,694.197,484.443,0.0132029,1,353.317,364.567
3.36207,298,1,719.802,881.738,0.0131276,0,353.317,359.518
3.36207,301.517,1,719.802,875.991,0.013126,0,353.317,359.558
3.36207,305.034,1,719.802,870.193,0.0131273,0,353.317,359.6
3.36207,308.552,1,719.802,864.345,0.0131287,0,353.317,359.643
3.36207,312.069,1,719.802,858.446,0.0131298,0,353.317,359.687
3.36207,315.586,1,719.802,852.496,0.0131302,0,353.317,359.731
